epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0814,1.96089,32.3661,0.94695,0.00355,0.10938,0.00128,0.00052,2.21271,130.654,1.05422,0.0003,0.0003,0.0003
2,141.441,1.81257,5.58751,0.90405,0.00176,0.03906,0.00041,0.00016,2.521,140.947,1.0487,0.000617954,0.000617954,0.000617954
3,216.115,1.764,1.98379,0.90471,0.0007,0.02344,0.0004,0.00013,3.01332,10.5653,1.49017,0.000933796,0.000933796,0.000933796
4,292.71,1.89354,1.58169,0.89768,0.56414,0.02064,0.02914,0.01011,3.67132,3.99967,2.49227,0.00124753,0.00124753,0.00124753
5,369.919,1.88284,1.52631,0.92955,0.00037,0.00781,0.00013,4e-05,3.87228,617.684,2.94881,0.00155914,0.00155914,0.00155914
6,452.415,1.99767,1.5808,0.94722,0,0,0,0,0,507627,0,0.00186865,0.00186865,0.00186865
7,522.511,2.06948,1.62181,0.9317,0,0,0,0,0.03975,226064,0.15129,0.0019604,0.0019604,0.0019604
8,593.5,1.93815,1.40526,0.92776,0.00992,0.03906,0.00191,0.00071,3.04152,97.2272,2.18975,0.0019538,0.0019538,0.0019538
9,665.697,1.91866,1.28905,0.8943,0.37039,0.16406,0.12776,0.04444,2.21603,2.53563,0.97703,0.0019472,0.0019472,0.0019472
10,739.806,1.83336,1.29022,0.90375,0.2235,0.07812,0.07993,0.03351,2.72701,2.38262,1.16573,0.0019406,0.0019406,0.0019406
11,814.851,1.7283,1.22192,0.88414,0.73362,0.11719,0.14814,0.07015,2.08889,1.69884,0.94991,0.001934,0.001934,0.001934
12,874.702,1.7773,1.25182,0.91417,0,0,0,0,5.332,9.74241,10.5955,0.0019274,0.0019274,0.0019274
13,949.658,1.73302,1.13363,0.89971,0.54703,0.13281,0.13866,0.05267,2.32295,3.43469,1.04861,0.0019208,0.0019208,0.0019208
14,1022.1,1.64925,1.1806,0.88503,0.85338,0.54567,0.68043,0.32062,1.73097,1.42978,0.90153,0.0019142,0.0019142,0.0019142
15,1088.9,1.59631,1.13634,0.88361,0.85177,0.65625,0.75843,0.31695,1.90918,1.55601,0.97298,0.0019076,0.0019076,0.0019076
16,1150.03,1.61664,1.05355,0.87575,0.74931,0.58381,0.67333,0.28362,1.90321,1.55489,0.90653,0.001901,0.001901,0.001901
17,1214.85,1.67005,1.07398,0.884,0.76036,0.57812,0.64978,0.24521,2.1406,1.62143,0.95871,0.0018944,0.0018944,0.0018944
18,1288.85,1.64565,1.06943,0.88339,0.87456,0.49219,0.5441,0.21521,1.85158,1.59192,0.91881,0.0018878,0.0018878,0.0018878
19,1363.4,1.65525,1.02735,0.87172,0.80957,0.03906,0.04046,0.0214,1.75473,7.09114,1.26549,0.0018812,0.0018812,0.0018812
20,1427.02,1.76857,1.10388,0.88828,0.68535,0.45947,0.5108,0.23323,1.89167,1.74029,0.96957,0.0018746,0.0018746,0.0018746
21,1487.56,1.5908,0.99862,0.8819,0.72442,0.43128,0.52162,0.26732,1.70159,1.50923,0.90434,0.001868,0.001868,0.001868
22,1556.66,1.54236,0.95277,0.86783,0,0,0,0,4.8607,21024.7,11.4463,0.0018614,0.0018614,0.0018614
23,1620.8,1.57368,0.99371,0.85895,0.27825,0.04688,0.02484,0.01469,1.13366,15.9598,1.06404,0.0018548,0.0018548,0.0018548
24,1679.2,1.57226,0.93597,0.87352,0.02899,0.03125,0.02972,0.0074,5.00565,6.7912,9.60064,0.0018482,0.0018482,0.0018482
25,1742.48,1.54144,0.96027,0.8596,0.70626,0.52598,0.57583,0.29239,1.62453,1.17577,0.88608,0.0018416,0.0018416,0.0018416
26,1805.1,1.48968,0.93939,0.85238,0.64643,0.50781,0.53339,0.23306,1.85022,2.14149,0.89571,0.001835,0.001835,0.001835
