epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3251,1.7905,6.33329,1.01119,0.00157,0.47244,0.00135,0.0004,1.68442,6.41288,0.96642,0.0003,0.0003,0.0003
2,60.3601,1.54707,4.22415,0.96754,0.00262,0.7874,0.00348,0.00123,1.68426,6.25254,0.96851,0.000618466,0.000618466,0.000618466
3,97.5242,1.54988,3.32167,0.9846,0.0021,0.44094,0.00189,0.00066,1.80125,9.62451,1.0262,0.000935347,0.000935347,0.000935347
4,135.355,1.47595,2.88887,0.94368,0.00094,0.24409,0.00059,0.00022,1.60136,5.69817,0.97531,0.00125064,0.00125064,0.00125064
5,175.799,1.48698,2.53063,0.96093,0.00256,0.33858,0.00346,0.00174,1.83206,5.07616,1.01512,0.00156436,0.00156436,0.00156436
6,217.714,1.45253,2.31511,0.95515,0.00218,0.14961,0.00921,0.00441,1.69359,4.73772,1.00958,0.00187649,0.00187649,0.00187649
7,255.676,1.49403,2.10509,0.94466,0.00303,0.15748,0.07616,0.03225,2.0515,4.15116,1.19215,0.0019703,0.0019703,0.0019703
8,296.325,1.53332,1.89313,0.98334,0.82187,0.03666,0.07086,0.0363,1.73001,4.25342,0.96959,0.00196535,0.00196535,0.00196535
9,335.457,1.61923,1.73642,0.97845,0.57445,0.13386,0.11977,0.0407,2.25914,2.1712,1.19658,0.0019604,0.0019604,0.0019604
10,373.849,1.56357,1.61592,0.97568,0.66727,0.14173,0.15509,0.05208,2.11177,2.05388,1.1496,0.00195545,0.00195545,0.00195545
11,416.495,1.50624,1.43572,0.96513,0.79778,0.09326,0.11092,0.05829,1.85892,1.98257,1.06351,0.0019505,0.0019505,0.0019505
12,459.975,1.37933,1.30795,0.93514,0.68242,0.06299,0.08947,0.04583,1.64702,1.61428,0.99287,0.00194555,0.00194555,0.00194555
13,501.347,1.40459,1.25168,0.95148,0.52287,0.04724,0.04304,0.02029,1.79807,7.09002,1.02534,0.0019406,0.0019406,0.0019406
14,548.454,1.384,1.20039,0.9239,0.95977,0.0315,0.03785,0.01903,1.82732,2.94006,1.01964,0.00193565,0.00193565,0.00193565
15,593.082,1.3464,1.08575,0.92724,0.35501,0.06939,0.08677,0.03966,1.69375,1.68893,1.0114,0.0019307,0.0019307,0.0019307
16,637.511,1.41962,1.14504,0.93871,0.87218,0.12598,0.20491,0.09336,2.46208,3.20723,1.2819,0.00192575,0.00192575,0.00192575
17,681.821,1.55941,1.16105,0.9502,0.79311,0.34646,0.36514,0.18595,1.54479,1.28277,0.9507,0.0019208,0.0019208,0.0019208
18,724.51,1.49972,1.08966,0.9456,0.79592,0.61417,0.65283,0.34189,1.51228,1.15522,0.942,0.00191585,0.00191585,0.00191585
19,766.632,1.37581,0.99975,0.92654,0.91484,0.81102,0.90481,0.48279,1.52626,1.04622,0.95788,0.0019109,0.0019109,0.0019109
20,804.852,1.36989,1.00672,0.92477,0.87698,0.84199,0.88639,0.47662,1.53083,1.11252,0.96477,0.00190595,0.00190595,0.00190595
21,847.532,1.24272,0.9395,0.92196,0.63824,0.14173,0.15159,0.06333,1.61912,1.11201,0.96912,0.001901,0.001901,0.001901
22,893.3,1.3697,1.01656,0.94959,0.59352,0.13386,0.12967,0.05468,1.58798,1.22613,0.95155,0.00189605,0.00189605,0.00189605
23,928.133,1.43053,1.01553,0.91992,0.91442,0.54331,0.74909,0.26111,2.3926,1.73561,1.18766,0.0018911,0.0018911,0.0018911
24,964.169,1.38506,0.96939,0.92146,0.85838,0.57271,0.68985,0.31224,2.00196,1.88005,1.06138,0.00188615,0.00188615,0.00188615
25,1008.49,1.30139,0.94539,0.91315,0.63923,0.15748,0.16247,0.06479,1.98344,1.34034,1.14032,0.0018812,0.0018812,0.0018812
26,1055.16,1.31144,0.92652,0.92393,0.856,0.40157,0.43597,0.23177,1.48792,1.1001,0.95503,0.00187625,0.00187625,0.00187625
27,1089.09,1.29865,0.91682,0.90375,0.91923,0.8065,0.88056,0.5221,1.30217,0.93252,0.90276,0.0018713,0.0018713,0.0018713
28,1135.68,1.30072,0.90779,0.92132,0.54986,0.15748,0.1491,0.07702,1.41137,1.31421,0.96031,0.00186635,0.00186635,0.00186635
29,1177.8,1.33202,0.92244,0.91396,0.87716,0.38583,0.42791,0.24965,1.37829,0.97056,0.93552,0.0018614,0.0018614,0.0018614
30,1219.34,1.24748,0.9041,0.90755,0.88413,0.72102,0.76313,0.33668,1.75648,1.01748,1.02176,0.00185645,0.00185645,0.00185645
31,1265.1,1.25999,0.86965,0.9141,0.63295,0.16535,0.15813,0.07472,1.45076,1.09056,0.93444,0.0018515,0.0018515,0.0018515
32,1299.88,1.24318,0.86455,0.89924,0.90715,0.84252,0.9265,0.5424,1.36714,0.87379,0.92062,0.00184655,0.00184655,0.00184655
33,1346.48,1.29315,0.85969,0.90318,0.85219,0.37795,0.41043,0.22183,1.34444,0.984,0.91002,0.0018416,0.0018416,0.0018416
34,1380.87,1.31863,0.86433,0.89788,0.98968,0.75478,0.88825,0.49758,1.41124,0.92242,0.92211,0.00183665,0.00183665,0.00183665
35,1414.53,1.23073,0.84343,0.90665,0.95065,0.85827,0.94161,0.55883,1.33592,0.82768,0.91457,0.0018317,0.0018317,0.0018317
36,1449.35,1.23317,0.83497,0.91122,0.9196,0.81102,0.90606,0.48823,1.35617,0.89964,0.91322,0.00182675,0.00182675,0.00182675
37,1482.58,1.27363,0.84334,0.88793,0.96319,0.82415,0.91039,0.49472,1.4531,0.89262,0.93259,0.0018218,0.0018218,0.0018218
38,1518.1,1.27993,0.84865,0.90697,0.89767,0.75591,0.84319,0.3875,1.65021,1.0645,0.95679,0.00181685,0.00181685,0.00181685
39,1551.36,1.26405,0.82635,0.90576,0.94953,0.88886,0.94807,0.52958,1.31408,0.76053,0.90171,0.0018119,0.0018119,0.0018119
40,1586.7,1.23497,0.82595,0.89498,0.95423,0.88189,0.92882,0.50622,1.37686,0.87314,0.91626,0.00180695,0.00180695,0.00180695
41,1621.4,1.2215,0.83369,0.89492,0.93196,0.87402,0.92443,0.52262,1.39769,0.83128,0.93061,0.001802,0.001802,0.001802
42,1656.37,1.19397,0.75762,0.88703,0.87728,0.84434,0.88938,0.54976,1.31978,0.85714,0.91691,0.00179705,0.00179705,0.00179705
